"name"	"SN2011jw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002971.txt'>CBET 2971</a>"	"alias"	"2"
"aliases"	"SN2011jw,CSS111227:104742+021815"
"claimedtype"	"Ia"
"discoverday"	"26"
"discoverer"	"CRTS"
"discovermonth"	"12"
"discoveryear"	"2011"
"galdec"	"+021815"
"galra"	"104741"
"host"	"A104741+0218"
"hvel"	"14700"
"maxday"	"26"
"maxmonth"	"12"
"maxyear"	"2011"
"redshift"	"0.049"
"sndec"	"+02:18:15.4"
"snra"	"10:47:41.70"
"photometry"	"timeunit"	"MJD"	"time"	"55921.5"	"abmag"	"19.3"	"source"	"2,1"
