"name"	"SN2008al"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001200/CBET001261.txt'>CBET 1261</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008al,CSS080213:024607-073834"
"claimedtype"	"II"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2008"
"galdec"	"-073804"
"galra"	"024607"
"host"	"A024607-0738"
"hvel"	"9000"
"maxday"	"12"
"maxmonth"	"2"
"maxyear"	"2008"
"redshift"	"0.03"
"sndec"	"-07:38:33.8"
"snra"	"02:46:07.23"
"photometry"	"timeunit"	"MJD"	"time"	"54508.5"	"abmag"	"17.3"	"source"	"2,1"
