"name"	"SN2000da"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"LOSS"
"discovermonth"	"8"
"discoveryear"	"2000"
"galdec"	"-015447"
"galra"	"000306"
"host"	"UGC 5"
"hvel"	"7323"
"maxday"	"23"
"maxmonth"	"8"
"maxyear"	"2000"
"redshift"	"0.0247"
"sndec"	"-015441.8"
"snra"	"000306.52"
"photometry"	"timeunit"	"MJD"	"time"	"51760.5"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51761.4"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51763.0"	"band"	"C"	"abmag"	"17.9"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51767.95"	"band"	"C"	"abmag"	"17.6"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51779.3"	"band"	"R"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51782.94"	"band"	"C"	"abmag"	"18.6"	"source"	"1,2"
