"name"	"PSN J12454418-1050083"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/unconf/followups/J12454418-1050083.html'>CBAT TOCP</a>"	"alias"	"2"
"aliases"	"PSN J12454418-1050083,CSS130513:124544-105008"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2013"
"host"	"MCG -2-33-4"
"maxday"	"12"
"maxmonth"	"5"
"maxyear"	"2013"
"sndec"	"-10:50:08.3"
"snra"	"12:45:44.18"
"photometry"	"timeunit"	"MJD"	"time"	"56424.5"	"abmag"	"17.2"	"source"	"2,1"
