"name"	"LSQ15xp"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7261'>ATEL 7261</a>"	"alias"	"2"
"aliases"	"LSQ15xp,PS15agn"
"claimedtype"	"IIP"
"discoverday"	"22"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"3"
"discoveryear"	"2015"
"host"	"MCG -3-30-2"
"maxday"	"22"
"maxmonth"	"3"
"maxyear"	"2015"
"redshift"	"0.008"
"sndec"	"-16:44:01.2"
"snra"	"11:32:42.79"
"photometry"	"timeunit"	"MJD"	"time"	"57103.5"	"abmag"	"16.7"	"source"	"2,1"
