"name"	"SN2011kk"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003900/CBET003984.txt'>CBET 3984</a>"	"alias"	"2"
"aliases"	"SN2011kk,PSN J05073790+0715251"
"claimedtype"	"Ia"
"discoverday"	"24"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+071524"
"galra"	"050737"
"host"	"A050737+0715"
"maxday"	"24"
"maxmonth"	"1"
"maxyear"	"2011"
"sndec"	"+07:15:25.1"
"snra"	"05:07:37.90"
"photometry"	"timeunit"	"MJD"	"time"	"55585.5"	"abmag"	"17.0"	"source"	"2,1"
