"name"	"SN2015ao"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004189.txt'>CBET 4189</a>"	"alias"	"2"
"aliases"	"SN2015ao,PSN J01505356-3600308"
"claimedtype"	"Ia-91bg"
"discoverday"	"12"
"discoverer"	"Greg Bock"
"discovermonth"	"10"
"discoveryear"	"2015"
"galdec"	"-360047"
"galra"	"015053"
"host"	"ESO 354-G3"
"hvel"	"5742"
"maxday"	"12"
"maxmonth"	"10"
"maxyear"	"2015"
"redshift"	"0.019"
"sndec"	"-36:00:30.8"
"snra"	"01:50:53.56"
"photometry"	"timeunit"	"MJD"	"time"	"57307.5"	"abmag"	"16.1"	"source"	"2,1"
