"name"	"iPTF15asr"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7573'>ATEL 7573</a>"	"alias"	"2"
"aliases"	"iPTF15asr,PS15ayn"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"PTF"
"discovermonth"	"6"
"discoveryear"	"2015"
"maxday"	"25"
"maxmonth"	"6"
"maxyear"	"2015"
"redshift"	"0.05"
"sndec"	"+58:02:02.9"
"snra"	"12:06:09.83"
"photometry"	"timeunit"	"MJD"	"time"	"57198.5"	"abmag"	"18.6"	"source"	"2,1"
