"name"	"LSQ12bkl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4015'>ATEL 4015</a>"	"alias"	"2"
"aliases"	"LSQ12bkl,MLS120330:123540+035119"
"claimedtype"	"Ibc"
"discoverday"	"29"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"3"
"discoveryear"	"2012"
"maxday"	"29"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.073"
"sndec"	"+03:51:19.32"
"snra"	"12:35:39.93"
"photometry"	"timeunit"	"MJD"	"time"	"56015.5"	"abmag"	"19.1"	"source"	"2,1"
