"name"	"LSQ12bri"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4037'>ATEL 4037</a>"	"alias"	"2"
"aliases"	"LSQ12bri,CSS120420:133548-212353"
"claimedtype"	"II"
"discoverday"	"5"
"discoverer"	"La Silla-QUEST"
"discovermonth"	"4"
"discoveryear"	"2012"
"maxday"	"5"
"maxmonth"	"4"
"maxyear"	"2012"
"redshift"	"0.03"
"sndec"	"-21:23:53.5"
"snra"	"13:35:48.34"
"photometry"	"timeunit"	"MJD"	"time"	"56022.5"	"abmag"	"17.1"	"source"	"2,1"
