"name"	"SN2013bn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003489.txt'>CBET 3489</a>"	"alias"	"2"
"aliases"	"SN2013bn,CSS130415:114802+543439"
"claimedtype"	"Ic"
"discoverday"	"23"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+543438"
"galra"	"114802"
"host"	"A114802+5434"
"hvel"	"16350"
"maxday"	"23"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.0545"
"sndec"	"+54:34:38.5"
"snra"	"11:48:02.02"
"photometry"	"timeunit"	"MJD"	"time"	"56405.5"	"abmag"	"17.8"	"source"	"2,1"
