"name"	"SN2006sl"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"ESSENCE"
"discovermonth"	"11"
"discoveryear"	"2006"
"galdec"	"-084834"
"galra"	"023215"
"host"	"A023215-0848"
"hvel"	"97200"
"maxday"	"4"
"maxmonth"	"11"
"maxyear"	"2006"
"redshift"	"0.4"
"sndec"	"-084834.3"
"snra"	"023215.95"
"photometry"	"timeunit"	"MJD"	"time"	"54053.0"	"band"	"R"	"abmag"	"22.3"	"source"	"1"
