"name"	"SN2009eb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001700/CBET001792.txt'>CBET 1792</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2009eb,CSS090417:095440+191113"
"discoverday"	"16"
"discoverer"	"CRTS"
"discovermonth"	"4"
"discoveryear"	"2009"
"galdec"	"+191112"
"galra"	"095440"
"host"	"A095440+1911"
"maxday"	"16"
"maxmonth"	"4"
"maxyear"	"2009"
"sndec"	"+19:11:12.7"
"snra"	"09:54:40.35"
"photometry"	"timeunit"	"MJD"	"time"	"54937.5"	"abmag"	"17.7"	"source"	"2,1"
