"name"	"SN2014dq"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6592'>ATEL 6592</a>"	"alias"	"2"
"aliases"	"SN2014dq,ASASSN-14jb"
"claimedtype"	"IIP"
"discoverday"	"24"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"10"
"discoveryear"	"2014"
"galdec"	"-285851"
"galra"	"222317"
"host"	"ESO 467-G51"
"hvel"	"1769"
"maxday"	"24"
"maxmonth"	"10"
"maxyear"	"2014"
"redshift"	"0.006"
"sndec"	"-28:58:30.8"
"snra"	"22:23:16.12"
"photometry"	"timeunit"	"MJD"	"time"	"56954.5"	"abmag"	"15.4"	"source"	"2,1"
