"name"	"SN2012eh"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003208.txt'>CBET 3208</a>"	"alias"	"2"
"aliases"	"SN2012eh,PSN J01273145+1449058"
"claimedtype"	"II"
"discoverday"	"19"
"discoverer"	"Italian Supernovae Search Project"
"discovermonth"	"8"
"discoveryear"	"2012"
"galdec"	"+144911"
"galra"	"012731"
"host"	"IC 1706"
"hvel"	"6487"
"maxday"	"19"
"maxmonth"	"8"
"maxyear"	"2012"
"redshift"	"0.022"
"sndec"	"+14:49:05.8"
"snra"	"01:27:31.45"
"photometry"	"timeunit"	"MJD"	"time"	"56158.5"	"abmag"	"18.4"	"source"	"2,1"
