"name"	"SN2011ih"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002918.txt'>CBET 2918</a>"	"alias"	"2"
"aliases"	"SN2011ih,PSN J02182782+0533165"
"claimedtype"	"II"
"discoverday"	"20"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+053313"
"galra"	"021827"
"host"	"UGC 1774"
"hvel"	"9000"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.03"
"sndec"	"+05:33:16.5"
"snra"	"02:18:27.81"
"photometry"	"timeunit"	"MJD"	"time"	"55885.5"	"abmag"	"18.4"	"source"	"2,1"
