"name"	"SN2001ad"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"IIb"
"discoverday"	"11"
"discoverer"	"BAOSS"
"discovermonth"	"3"
"discoveryear"	"2001"
"galdec"	"+585942"
"galra"	"172408"
"host"	"NGC 6373"
"hvel"	"3315"
"maxday"	"19"
"maxmonth"	"3"
"maxyear"	"2001"
"redshift"	"0.0111"
"sndec"	"+585952.2"
"snra"	"172402.45"
"photometry"	"timeunit"	"MJD"	"time"	"51979.8"	"band"	"C"	"abmag"	"17.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51981.5"	"band"	"C"	"abmag"	"18.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51987.06"	"band"	"R"	"abmag"	"17.1"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51987.15"	"band"	"C"	"abmag"	"17"	"source"	"1,2"
