"name"	"K0905-12"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/001800/CBET001861.txt'>CBET 1861</a>"	"alias"	"2"
"aliases"	"K0905-12,CSS090530:142021+291159"
"claimedtype"	"unk"
"discoverday"	"29"
"discoverer"	"CRTS"
"discovermonth"	"5"
"discoveryear"	"2009"
"maxday"	"29"
"maxmonth"	"5"
"maxyear"	"2009"
"sndec"	"+29:11:59.4"
"snra"	"14:20:21.31"
"photometry"	"timeunit"	"MJD"	"time"	"54980.5"	"abmag"	"19.1"	"source"	"2,1"
