"name"	"SN2013bx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003500/CBET003501.txt'>CBET 3501</a>"	"alias"	"2"
"aliases"	"SN2013bx,iPTF13adc"
"claimedtype"	"Ia"
"discoverday"	"8"
"discoverer"	"THU-NAOC Transient Survey (TNTS)"
"discovermonth"	"4"
"discoveryear"	"2013"
"galdec"	"+323253"
"galra"	"124724"
"host"	"A124724+3232"
"hvel"	"45700"
"maxday"	"8"
"maxmonth"	"4"
"maxyear"	"2013"
"redshift"	"0.0775"
"sndec"	"+32:32:50.0"
"snra"	"12:47:24.22"
"photometry"	"timeunit"	"MJD"	"time"	"56390.5"	"abmag"	"19.8"	"source"	"2,1"
