"name"	"SN2011fn"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002814.txt'>CBET 2814</a>"	"alias"	"2"
"aliases"	"SN2011fn,PSN J06483496-6415545"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"Stu Parker"
"discovermonth"	"8"
"discoveryear"	"2011"
"galdec"	"-641559"
"galra"	"064830"
"host"	"NGC 2305"
"hvel"	"21000"
"maxday"	"7"
"maxmonth"	"8"
"maxyear"	"2011"
"redshift"	"0.0117"
"sndec"	"-64:15:54.5"
"snra"	"06:48:34.95"
"photometry"	"timeunit"	"MJD"	"time"	"55780.5"	"abmag"	"17.9"	"source"	"2,1"
