"name"	"MASTER PGC2128586"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3213'>ATEL 3213</a>"	"alias"	"2"
"aliases"	"MASTER PGC2128586"
"claimedtype"	"unk"
"discoverday"	"8"
"discoverer"	"MASTER"
"discovermonth"	"3"
"discoveryear"	"2011"
"maxday"	"8"
"maxmonth"	"3"
"maxyear"	"2011"
"sndec"	"+38:29:45.8"
"snra"	"12:50:29.47"
"photometry"	"timeunit"	"MJD"	"time"	"55628.5"	"abmag"	"19.7"	"source"	"2,1"
