"name"	"Gaia15abz"
"source"	"name"	"<a href='https://gaia.ac.uk/selected-gaia-science-alerts'>Gaia Photometric Science Alerts</a>"	"alias"	"1"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"2"	"secondary"	"1"
"source"	"name"	"<a href='http://gaia.ac.uk/selected-gaia-science-alerts'>GAIA page</a>"	"alias"	"3"
"aliases"	"Gaia15abz,iPTF15jg"
"claimedtype"	"II"
"discoverday"	"4"
"discoverer"	"Gaia Photometric Science Alerts programme"
"discovermonth"	"2"
"discoveryear"	"2015"
"maxday"	"4"
"maxmonth"	"2"
"maxyear"	"2015"
"redshift"	"0.0251"
"sndec"	"+07:17:02.1"
"snra"	"12:27:19.12"
"photometry"	"timeunit"	"MJD"	"time"	"57057.5"	"abmag"	"18.4"	"source"	"3,2"
"photometry"	"timeunit"	"MJD"	"time"	"57058.652"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.37"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57058.726"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.29"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57058.903"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"18.36"	"source"	"1"
"photometry"	"timeunit"	"MJD"	"time"	"57164.235"	"band"	"G"	"instrument"	"GAIA"	"abmag"	"20.59"	"source"	"1"
