"name"	"SN2011am"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002667.txt'>CBET 2667</a>"	"alias"	"2"
"aliases"	"SN2011am,PSN J12162600-4319200"
"claimedtype"	"Ib"
"discoverday"	"26"
"discoverer"	"Stu Parker"
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"-431927"
"galra"	"121627"
"host"	"NGC 4219"
"hvel"	"1899"
"maxday"	"26"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.0066"
"sndec"	"-43:19:20.0"
"snra"	"12:16:26.00"
"photometry"	"timeunit"	"MJD"	"time"	"55618.5"	"abmag"	"15.3"	"source"	"2,1"
