"name"	"SN2001dm"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"Ia"
"discoverday"	"7"
"discoverer"	"LOTOSS"
"discovermonth"	"8"
"discoveryear"	"2001"
"galdec"	"-295520"
"galra"	"015541"
"host"	"NGC 749"
"hvel"	"4394"
"maxday"	"7"
"maxmonth"	"8"
"maxyear"	"2001"
"redshift"	"0.0148"
"sndec"	"-295520.7"
"snra"	"015540.55"
"photometry"	"timeunit"	"MJD"	"time"	"52128.5"	"band"	"C"	"abmag"	"15.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52129.5"	"band"	"C"	"abmag"	"15.4"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52140.6"	"band"	"R"	"abmag"	"15.7"	"source"	"1,2"
