"name"	"SN2013fw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003600/CBET003681.txt'>CBET 3681</a>"	"alias"	"2"
"aliases"	"SN2013fw,PSN J21134481+1334335"
"claimedtype"	"Ia-HV"
"discoverday"	"6"
"discoverer"	"Xing Gao et al."
"discovermonth"	"11"
"discoveryear"	"2013"
"galdec"	"+133430"
"galra"	"211346"
"host"	"NGC 7042"
"hvel"	"5180"
"maxday"	"6"
"maxmonth"	"11"
"maxyear"	"2013"
"redshift"	"0.016952"
"sndec"	"+13:34:33.5"
"snra"	"21:13:44.81"
"photometry"	"timeunit"	"MJD"	"time"	"56602.5"	"abmag"	"15.4"	"source"	"2,1"
