"name"	"SN2000D"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"22"
"discoverer"	"Boles"
"discovermonth"	"1"
"discoveryear"	"2000"
"galdec"	"+380438"
"galra"	"021805"
"host"	"UGC 1767"
"hvel"	"5154"
"maxday"	"6"
"maxmonth"	"2"
"maxyear"	"2000"
"redshift"	"0.0173"
"sndec"	"+380427.4"
"snra"	"021804.84"
"photometry"	"timeunit"	"MJD"	"time"	"51565.92"	"band"	"C"	"abmag"	"16.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51567.8"	"band"	"C"	"abmag"	"16.2"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51571.8"	"band"	"R"	"abmag"	"16.98"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51579.4"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51580.02"	"band"	"C"	"abmag"	"15.79"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51582.77"	"band"	"R"	"abmag"	"17.3"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51616.76"	"band"	"C"	"abmag"	"17.5"	"source"	"1,2"
