"name"	"SN2011ae"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002658.txt'>CBET 2658</a>"	"alias"	"2"
"aliases"	"SN2011ae,PSN J11544925-1651436"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"2"
"discoveryear"	"2011"
"galdec"	"-165152"
"galra"	"115450"
"host"	"MCG -3-30-19"
"hvel"	"1814"
"maxday"	"11"
"maxmonth"	"2"
"maxyear"	"2011"
"redshift"	"0.006"
"sndec"	"-16:51:43.5"
"snra"	"11:54:49.25"
"photometry"	"timeunit"	"MJD"	"time"	"55603.5"	"abmag"	"13.0"	"source"	"2,1"
