"name"	"SN2013K"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003391.txt'>CBET 3391</a>"	"alias"	"2"
"aliases"	"SN2013K,PSN J17393154-8518381"
"claimedtype"	"IIP"
"discoverday"	"19"
"discoverer"	"Stu Parker"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"-851837"
"galra"	"173931"
"host"	"ESO 9-G10"
"hvel"	"2419"
"maxday"	"19"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.008"
"sndec"	"-85:18:38.1"
"snra"	"17:39:31.54"
"photometry"	"timeunit"	"MJD"	"time"	"56311.5"	"abmag"	"17.7"	"source"	"2,1"
