"name"	"SN2014as"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003861.txt'>CBET 3861</a>"	"alias"	"2"
"source"	"name"	"Stan Howerton"	"alias"	"3"
"aliases"	"SN2014as,PSN J14005449+4058596"
"claimedtype"	"Ic"
"discoverday"	"23"
"discoverer"	"David Grennan"
"discovermonth"	"4"
"discoveryear"	"2014"
"galdec"	"+405919"
"galra"	"140055"
"host"	"NGC 5410"
"hvel"	"3738"
"maxday"	"23"
"maxmonth"	"4"
"maxyear"	"2014"
"redshift"	"0.012469"
"sndec"	"+40:58:59.6"
"snra"	"14:00:54.49"
"photometry"	"timeunit"	"MJD"	"time"	"56770.5"	"abmag"	"16.3"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56780.242"	"band"	"U"	"abmag"	"17.0"	"source"	"3,1"
