"name"	"SN2011ar"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002673.txt'>CBET 2673</a>"	"alias"	"2"
"aliases"	"SN2011ar,PSN J03032521+0429399"
"claimedtype"	"II"
"discoverday"	"26"
"discoverer"	"LOSS"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"+042930"
"galra"	"030324"
"host"	"UGC 2509"
"hvel"	"5860"
"maxday"	"26"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.0201"
"sndec"	"+04:29:39.9"
"snra"	"03:03:25.20"
"photometry"	"timeunit"	"MJD"	"time"	"55587.5"	"abmag"	"19.0"	"source"	"2,1"
