"name"	"SN2013D"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=4702'>ATEL 4702</a>"	"alias"	"2"
"aliases"	"SN2013D,MASTER OT J034115.13+152303.9"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"+152244"
"galra"	"034114"
"host"	"PGC 1483058"
"hvel"	"8130"
"maxday"	"2"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.027119"
"sndec"	"+15:23:03.9"
"snra"	"03:41:15.13"
"photometry"	"timeunit"	"MJD"	"time"	"56294.5"	"abmag"	"17.5"	"source"	"2,1"
