"name"	"SN2014az"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003800/CBET003872.txt'>CBET 3872</a>"	"alias"	"2"
"source"	"name"	"Thomas Langhans"	"alias"	"3"
"aliases"	"SN2014az,PSN J23322284+1551106"
"claimedtype"	"IIP"
"discoverday"	"29"
"discoverer"	"Stu Parker"
"discovermonth"	"4"
"discoveryear"	"2014"
"galdec"	"+155052"
"galra"	"233224"
"host"	"NGC 7691"
"hvel"	"4061"
"maxday"	"29"
"maxmonth"	"4"
"maxyear"	"2014"
"redshift"	"0.013479"
"sndec"	"+15:51:10.6"
"snra"	"23:32:22.84"
"photometry"	"timeunit"	"MJD"	"time"	"56776.5"	"abmag"	"16.3"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56837.474"	"band"	"UV"	"abmag"	"17.4"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56863.456"	"band"	"UV"	"abmag"	"17.8"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"56913.328"	"band"	"UV"	"abmag"	"19.1"	"source"	"3,1"
