"name"	"SN2015bf"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004200/CBET004219.txt'>CBET 4219</a>"	"alias"	"2"
"aliases"	"SN2015bf,PSN J23244903+1516520"
"claimedtype"	"IIn"
"discoverday"	"11"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"12"
"discoveryear"	"2015"
"host"	"NGC 7653"
"maxday"	"11"
"maxmonth"	"12"
"maxyear"	"2015"
"redshift"	"0.014227"
"sndec"	"+15:16:52.0"
"snra"	"23:24:49.03"
"photometry"	"timeunit"	"MJD"	"time"	"57367.5"	"abmag"	"17.1"	"source"	"2,1"
