"name"	"SN2005mx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/000300/CBET000344.txt'>CBET 344</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2005mx,SNF20050701-003"
"claimedtype"	"II"
"discoverday"	"30"
"discoverer"	"Nearby Supernova Factory"
"discovermonth"	"6"
"discoveryear"	"2005"
"galdec"	"+103914"
"galra"	"214008"
"host"	"A214008+1039"
"maxday"	"30"
"maxmonth"	"6"
"maxyear"	"2005"
"sndec"	"+10:39:14.0"
"snra"	"21:40:08.2"
"photometry"	"timeunit"	"MJD"	"time"	"53551.5"	"abmag"	"19.4"	"source"	"2,1"
