"name"	"OGLE-2013-SN-034"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5204'>ATEL 5204</a>"	"alias"	"2"
"aliases"	"OGLE-2013-SN-034,OGLE-2013-SN-055"
"discoverday"	"8"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"7"
"discoveryear"	"2013"
"maxday"	"8"
"maxmonth"	"7"
"maxyear"	"2013"
"sndec"	"-71:28:28.2"
"snra"	"00:10:47.75"
"photometry"	"timeunit"	"MJD"	"time"	"56481.5"	"abmag"	"19.2"	"source"	"2,1"
