"name"	"OGLE-2014-SN-173"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=7207'>ATEL 7207</a>"	"alias"	"2"
"aliases"	"OGLE-2014-SN-173,OGLE-2014-SN-173dupl"
"claimedtype"	"IIn/LBV"
"discoverday"	"18"
"discoverer"	"OGLE-IV wide field survey"
"discovermonth"	"3"
"discoveryear"	"2014"
"maxday"	"18"
"maxmonth"	"3"
"maxyear"	"2014"
"redshift"	"0.0296"
"sndec"	"-69:40:48.1"
"snra"	"06:28:40.64"
"photometry"	"timeunit"	"MJD"	"time"	"56734.5"	"abmag"	"17.2"	"source"	"2,1"
