"name"	"SN2006gy"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"N.Smith et al., 2006, astro-ph/0612617"	"alias"	"2"
"source"	"name"	"Agnoletto et al., 2008, astro-ph/0810.0635"	"alias"	"3"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"4"
"claimedtype"	"IIn "
"discoverday"	"26"
"discoverer"	"Quimby, Mondol"
"discovermonth"	"8"
"discoveryear"	"2006"
"galdec"	"+412418"
"galra"	"031727"
"host"	"NGC 1260"
"hvel"	"5631"
"maxday"	"29"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.019"
"sndec"	"+412419.5"
"snra"	"031727.06"
"photometry"	"timeunit"	"MJD"	"time"	"53973.46"	"band"	"R"	"abmag"	"18.62"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53981.5"	"band"	"R"	"abmag"	"16.22"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53987.48"	"band"	"R"	"abmag"	"15.72"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53994.54"	"band"	"R"	"abmag"	"15.12"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"53996.0"	"band"	"R"	"abmag"	"15"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54002.53"	"band"	"R"	"abmag"	"14.72"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54007.45"	"band"	"R"	"abmag"	"14.62"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54008.0"	"band"	"B"	"abmag"	"16"	"aberr"	"0.08"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54008.0"	"band"	"I"	"abmag"	"14.48"	"aberr"	"0.07"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54008.0"	"band"	"R"	"abmag"	"14.51"	"aberr"	"0.1"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54008.0"	"band"	"V"	"abmag"	"15.19"	"aberr"	"0.22"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54014.47"	"band"	"R"	"abmag"	"14.42"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54020.49"	"band"	"R"	"abmag"	"14.32"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54026.42"	"band"	"R"	"abmag"	"14.27"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54033.42"	"band"	"R"	"abmag"	"14.22"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54037.0"	"band"	"B"	"abmag"	"15.84"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54037.0"	"band"	"I"	"abmag"	"14.1"	"aberr"	"0.06"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54037.0"	"band"	"R"	"abmag"	"14.28"	"aberr"	"0.04"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54037.0"	"band"	"V"	"abmag"	"14.85"	"aberr"	"0.13"	"source"	"1,3"
"photometry"	"timeunit"	"MJD"	"time"	"54038.35"	"band"	"R"	"abmag"	"14.22"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54047.31"	"band"	"R"	"abmag"	"14.28"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"54049.42"	"band"	"R"	"abmag"	"14.28"	"source"	"1,2"
