"name"	"SN2006kp"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2006"
"galdec"	"+004145"
"galra"	"021111"
"host"	"A021111+0041"
"hvel"	"74700"
"maxday"	"2"
"maxmonth"	"10"
"maxyear"	"2006"
"redshift"	"0.29"
"sndec"	"+004145.0"
"snra"	"021111.66"
"photometry"	"timeunit"	"MJD"	"time"	"54009.0"	"band"	"g"	"abmag"	"23.3"	"source"	"1"
