"name"	"SN2011jl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002957.txt'>CBET 2957</a>"	"alias"	"2"
"aliases"	"SN2011jl,PSN J10430295-3621524"
"claimedtype"	"Ic"
"discoverday"	"27"
"discoverer"	"CHASE"
"discovermonth"	"1"
"discoveryear"	"2011"
"galdec"	"-362144"
"galra"	"104303"
"host"	"NGC 3354"
"hvel"	"2812"
"maxday"	"27"
"maxmonth"	"1"
"maxyear"	"2011"
"redshift"	"0.01"
"sndec"	"-36:21:52.4"
"snra"	"10:43:02.95"
"photometry"	"timeunit"	"MJD"	"time"	"55588.5"	"abmag"	"15.5"	"source"	"2,1"
