"name"	"ASASSN-14dl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=6283'>ATEL 6283</a>"	"alias"	"2"
"aliases"	"ASASSN-14dl,PSN J12215136-2409553"
"claimedtype"	"II"
"discoverday"	"29"
"discoverer"	"All Sky Automated Survey for SuperNovae (ASAS-SN)"
"discovermonth"	"6"
"discoveryear"	"2014"
"host"	"ESO 506-G4"
"maxday"	"29"
"maxmonth"	"6"
"maxyear"	"2014"
"redshift"	"0.013416"
"sndec"	"-24:09:54.0"
"snra"	"12:21:51.38"
"photometry"	"timeunit"	"MJD"	"time"	"56837.5"	"abmag"	"16.6"	"source"	"2,1"
