"name"	"SN2008fx"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/001500/CBET001523.txt'>CBET 1523</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2008fx,CSS080923:021134+235250"
"claimedtype"	"Ia"
"discoverday"	"12"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2008"
"galdec"	"+235249"
"galra"	"021133"
"host"	"A021133+2352"
"maxday"	"12"
"maxmonth"	"9"
"maxyear"	"2008"
"sndec"	"+23:52:49.6"
"snra"	"02:11:33.98"
"photometry"	"timeunit"	"MJD"	"time"	"54721.5"	"abmag"	"17.7"	"source"	"2,1"
