"name"	"SN2011is"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002936.txt'>CBET 2936</a>"	"alias"	"2"
"aliases"	"SN2011is,PSN J14014714+0929488"
"claimedtype"	"Ia"
"discoverday"	"20"
"discoverer"	"Marco Migliardi"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+092926"
"galra"	"140146"
"host"	"NGC 5409"
"hvel"	"6218"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0209"
"sndec"	"+09:29:45.36"
"snra"	"14:01:47.20"
"photometry"	"timeunit"	"MJD"	"time"	"55885.5"	"abmag"	"16.0"	"source"	"2,1"
