"name"	"PSN 07591099+3254392"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"MDe"	"alias"	"2"
"source"	"name"	"Paolo Campaner"	"alias"	"3"
"source"	"name"	"Andre Mantero"	"alias"	"4"
"source"	"name"	"Gianpiero Locatelli"	"alias"	"5"
"aliases"	"PSN 07591099+3254392"
"discoverday"	"20"
"discovermonth"	"11"
"discoveryear"	"2014"
"maxday"	"20"
"maxmonth"	"11"
"maxyear"	"2014"
"photometry"	"timeunit"	"MJD"	"time"	"56981.073"	"band"	"CV"	"abmag"	"16.5"	"source"	"2,1"
"photometry"	"timeunit"	"MJD"	"time"	"56982.045"	"band"	"U"	"abmag"	"17.0"	"source"	"3,1"
"photometry"	"timeunit"	"MJD"	"time"	"57003.931"	"band"	"V"	"abmag"	"16.86"	"source"	"4,1"
"photometry"	"timeunit"	"MJD"	"time"	"57003.943"	"band"	"U"	"abmag"	"17.9"	"source"	"5,1"
