"name"	"SN2007sm"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"SDSS-II"
"discovermonth"	"11"
"discoveryear"	"2007"
"galdec"	"+002517"
"galra"	"212250"
"host"	"A212250+0025"
"hvel"	"18000"
"maxday"	"14"
"maxmonth"	"12"
"maxyear"	"2007"
"redshift"	"0.062"
"sndec"	"+002517.9"
"snra"	"212250.57"
"photometry"	"timeunit"	"MJD"	"time"	"54431.0"	"band"	"g"	"abmag"	"20.4"	"source"	"1"
