"name"	"SN2012bo"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003000/CBET003079.txt'>CBET 3079</a>"	"alias"	"2"
"aliases"	"SN2012bo,PSN J12504523-1416085"
"claimedtype"	"Ia"
"discoverday"	"27"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"3"
"discoveryear"	"2012"
"galdec"	"-141607"
"galra"	"125046"
"host"	"NGC 4726"
"hvel"	"7624"
"maxday"	"27"
"maxmonth"	"3"
"maxyear"	"2012"
"redshift"	"0.0254"
"sndec"	"-14:16:08.5"
"snra"	"12:50:45.23"
"photometry"	"timeunit"	"MJD"	"time"	"56013.5"	"abmag"	"16.1"	"source"	"2,1"
