"name"	"MASTER OT103717.83+505934.2"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=3847'>ATEL 3847</a>"	"alias"	"2"
"aliases"	"MASTER OT103717.83+505934.2"
"discoverday"	"2"
"discoverer"	"MASTER"
"discovermonth"	"1"
"discoveryear"	"2012"
"maxday"	"2"
"maxmonth"	"1"
"maxyear"	"2012"
"sndec"	"+50:59:34.2"
"snra"	"10:37:17.83"
"photometry"	"timeunit"	"MJD"	"time"	"55928.5"	"abmag"	"19.2"	"source"	"2,1"
