"name"	"SN2007sb"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+002443"
"galra"	"004123"
"host"	"A004123+0024"
"hvel"	"56500"
"maxday"	"20"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.21"
"sndec"	"+002443.0"
"snra"	"004123.75"
"photometry"	"timeunit"	"MJD"	"time"	"54384.0"	"band"	"g"	"abmag"	"22.0"	"source"	"1"
