"name"	"SN2015ab"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004173.txt'>CBET 4173</a>"	"alias"	"2"
"aliases"	"SN2015ab,PSN J02283286+2017077"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"7"
"discoveryear"	"2015"
"galdec"	"+201701"
"galra"	"022833"
"host"	"NGC 938"
"hvel"	"4073"
"maxday"	"17"
"maxmonth"	"7"
"maxyear"	"2015"
"redshift"	"0.0137"
"sndec"	"+20:17:07.7"
"snra"	"02:28:32.86"
"photometry"	"timeunit"	"MJD"	"time"	"57220.5"	"abmag"	"14.7"	"source"	"2,1"
