"name"	"SN2010N"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/cbet/002100/CBET002138.txt'>CBET 2138</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010N,CSS100112:130905+170422"
"claimedtype"	"Ia"
"discoverday"	"11"
"discoverer"	"CRTS"
"discovermonth"	"1"
"discoveryear"	"2010"
"galdec"	"+170422"
"galra"	"130905"
"host"	"A130905+1704"
"hvel"	"6400"
"maxday"	"11"
"maxmonth"	"1"
"maxyear"	"2010"
"redshift"	"0.021"
"sndec"	"+17:04:22.3"
"snra"	"13:09:05.24"
"photometry"	"timeunit"	"MJD"	"time"	"55207.5"	"abmag"	"16.7"	"source"	"2,1"
