"name"	"SN2015K"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/004100/CBET004116.txt'>CBET 4116</a>"	"alias"	"2"
"aliases"	"SN2015K,PSN J23355226+2336521"
"claimedtype"	"Ic"
"discoverday"	"25"
"discoverer"	"Koichi Itagaki"
"discovermonth"	"4"
"discoveryear"	"2015"
"galdec"	"+233707"
"galra"	"233552"
"host"	"NGC 7712"
"hvel"	"3033"
"maxday"	"25"
"maxmonth"	"4"
"maxyear"	"2015"
"redshift"	"0.010184"
"sndec"	"+23:36:52.1"
"snra"	"23:35:52.26"
"photometry"	"timeunit"	"MJD"	"time"	"57137.5"	"abmag"	"16.1"	"source"	"2,1"
