"name"	"iPTF13dkl"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.astronomerstelegram.org/?read=5405'>ATEL 5405</a>"	"alias"	"2"
"aliases"	"iPTF13dkl,PS1-13dkt"
"claimedtype"	"Ia"
"discoverday"	"1"
"discoverer"	"PTF"
"discovermonth"	"10"
"discoveryear"	"2013"
"maxday"	"1"
"maxmonth"	"10"
"maxyear"	"2013"
"redshift"	"0.04"
"sndec"	"+03:23:40.3"
"snra"	"23:44:57.99"
"photometry"	"timeunit"	"MJD"	"time"	"56566.5"	"abmag"	"17.8"	"source"	"2,1"
