"name"	"SN1997dt"
"source"	"name"	"<a href='https://www.cfa.harvard.edu/supernova/SNarchive.html'>CfA Supernova Archive</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2006AJ....131..527J'>2006AJ....131..527J</a>"	"alias"	"2"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"3"	"secondary"	"1"
"source"	"name"	"S.Jha et al., 2005, astro-ph/0509234"	"alias"	"4"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"Qiao et al.,Esamdin"
"discovermonth"	"11"
"discoveryear"	"1997"
"galdec"	"+155849"
"galra"	"230004"
"host"	"NGC 7448"
"hvel"	"2191"
"maxday"	"29"
"maxmonth"	"11"
"maxyear"	"1997"
"redshift"	"0.00734"
"sndec"	"+155850.9"
"snra"	"230002.93"
"photometry"	"timeunit"	"MJD"	"time"	"50777.1"	"band"	"V"	"abmag"	"15.919"	"aberr"	"0.007"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50777.1"	"band"	"R"	"abmag"	"15.402"	"aberr"	"0.010"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50777.1"	"band"	"R"	"abmag"	"15.4"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50777.1"	"band"	"V"	"abmag"	"15.92"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"U"	"abmag"	"15.863"	"aberr"	"0.038"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"B"	"abmag"	"15.801"	"aberr"	"0.014"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"V"	"abmag"	"15.369"	"aberr"	"0.009"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"R"	"abmag"	"14.928"	"aberr"	"0.011"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"I"	"abmag"	"14.636"	"aberr"	"0.013"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"B"	"abmag"	"15.8"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"I"	"abmag"	"14.64"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"R"	"abmag"	"14.93"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"U"	"abmag"	"15.86"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50781.18"	"band"	"V"	"abmag"	"15.37"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"U"	"abmag"	"18.539"	"aberr"	"0.051"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"B"	"abmag"	"17.847"	"aberr"	"0.015"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"V"	"abmag"	"16.242"	"aberr"	"0.008"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"R"	"abmag"	"15.570"	"aberr"	"0.011"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"I"	"abmag"	"14.986"	"aberr"	"0.012"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"B"	"abmag"	"17.85"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"I"	"abmag"	"14.99"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"U"	"abmag"	"18.54"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50810.08"	"band"	"V"	"abmag"	"16.24"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"B"	"abmag"	"18.915"	"aberr"	"0.044"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"V"	"abmag"	"17.510"	"aberr"	"0.019"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"R"	"abmag"	"16.945"	"aberr"	"0.027"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"I"	"abmag"	"16.474"	"aberr"	"0.035"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"B"	"abmag"	"18.91"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"I"	"abmag"	"16.47"	"source"	"3,4"
"photometry"	"timeunit"	"MJD"	"time"	"50842.09"	"band"	"R"	"abmag"	"16.95"	"source"	"3,4"
