"name"	"SN2010ld"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002600/CBET002601.txt'>CBET 2601</a>"	"alias"	"2"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"3"
"aliases"	"SN2010ld,CSS101103:090403+090528"
"claimedtype"	"Ia"
"discoverday"	"2"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2010"
"galdec"	"+090527"
"galra"	"090403"
"host"	"A090403+0905"
"maxday"	"2"
"maxmonth"	"11"
"maxyear"	"2010"
"sndec"	"+09:05:27.9"
"snra"	"09:04:03.07"
"photometry"	"timeunit"	"MJD"	"time"	"55502.5"	"abmag"	"18.6"	"source"	"2,1"
