"name"	"SN2007oq"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia ?"
"discoverday"	"6"
"discoverer"	"SDSS-II"
"discovermonth"	"10"
"discoveryear"	"2007"
"galdec"	"+005904"
"galra"	"214230"
"host"	"A214230+0059"
"hvel"	"85300"
"maxday"	"10"
"maxmonth"	"10"
"maxyear"	"2007"
"redshift"	"0.34"
"sndec"	"+005904.6"
"snra"	"214230.75"
"photometry"	"timeunit"	"MJD"	"time"	"54379.0"	"band"	"g"	"abmag"	"22.0"	"source"	"1"
