"name"	"SN1999gl"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"20"
"discoverer"	"Boles"
"discovermonth"	"12"
"discoveryear"	"1999"
"galdec"	"+434731"
"galra"	"005740"
"host"	"NGC 317B"
"hvel"	"5083"
"maxday"	"20"
"maxmonth"	"12"
"maxyear"	"1999"
"redshift"	"0.0171"
"sndec"	"+434735.6"
"snra"	"005740.07"
"photometry"	"timeunit"	"MJD"	"time"	"51532.95"	"band"	"R"	"abmag"	"17.41"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51543.79"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"51571.77"	"band"	"R"	"abmag"	"17.9"	"source"	"1,2"
