"name"	"SN2012cb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003100/CBET003102.txt'>CBET 3102</a>"	"alias"	"2"
"aliases"	"SN2012cb,PSN J05281795+7639559"
"claimedtype"	"II"
"discoverday"	"1"
"discoverer"	"Giancarlo Cortini"
"discovermonth"	"5"
"discoveryear"	"2012"
"galdec"	"+763949"
"galra"	"052823"
"host"	"UGC 3302"
"hvel"	"4173"
"maxday"	"1"
"maxmonth"	"5"
"maxyear"	"2012"
"redshift"	"0.013923"
"sndec"	"+76:39:55.9"
"snra"	"05:28:17.95"
"photometry"	"timeunit"	"MJD"	"time"	"56048.5"	"abmag"	"17.1"	"source"	"2,1"
