"name"	"SN2011ja"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002900/CBET002946.txt'>CBET 2946</a>"	"alias"	"2"
"aliases"	"SN2011ja,PSN J13051112-4931270"
"claimedtype"	"IIP"
"discoverday"	"8"
"discoverer"	"Berto Monard"
"discovermonth"	"1"
"discoveryear"	"2012"
"galdec"	"-492806"
"galra"	"130527"
"host"	"NGC 4945"
"hvel"	"581"
"maxday"	"8"
"maxmonth"	"1"
"maxyear"	"2012"
"redshift"	"0.001878"
"sndec"	"-49:31:27.0"
"snra"	"13:05:11.11"
"photometry"	"timeunit"	"MJD"	"time"	"55934.5"	"abmag"	"11.7"	"source"	"2,1"
