"name"	"SN2013hw"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003700/CBET003789.txt'>CBET 3789</a>"	"alias"	"2"
"aliases"	"SN2013hw,PSN J10325543-0155136"
"claimedtype"	"Ia"
"discoverday"	"29"
"discoverer"	"MASTER"
"discovermonth"	"12"
"discoveryear"	"2013"
"galdec"	"-015508"
"galra"	"103255"
"host"	"PGC 1106461"
"hvel"	"15130"
"maxday"	"29"
"maxmonth"	"12"
"maxyear"	"2013"
"redshift"	"0.05045"
"sndec"	"-01:55:13.6"
"snra"	"10:32:55.43"
"photometry"	"timeunit"	"MJD"	"time"	"56655.5"	"abmag"	"17.1"	"source"	"2,1"
