"name"	"SN2013aj"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003400/CBET003434.txt'>CBET 3434</a>"	"alias"	"2"
"aliases"	"SN2013aj,PSN J13540068-0755438"
"claimedtype"	"Ia"
"discoverday"	"15"
"discoverer"	"Giancarlo Cortini"
"discovermonth"	"3"
"discoveryear"	"2013"
"galdec"	"-075550"
"galra"	"135400"
"host"	"NGC 5339"
"hvel"	"2590"
"maxday"	"15"
"maxmonth"	"3"
"maxyear"	"2013"
"redshift"	"0.009"
"sndec"	"-07:55:43.8"
"snra"	"13:54:00.68"
"photometry"	"timeunit"	"MJD"	"time"	"56366.5"	"abmag"	"14.4"	"source"	"2,1"
