"name"	"SN2011hb"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/002800/CBET002880.txt'>CBET 2880</a>"	"alias"	"2"
"aliases"	"SN2011hb,PSN J23275551+0846457"
"claimedtype"	"Ia"
"discoverday"	"17"
"discoverer"	"CRTS"
"discovermonth"	"11"
"discoveryear"	"2011"
"galdec"	"+084644"
"galra"	"232757"
"host"	"NGC 7674"
"hvel"	"8662"
"maxday"	"17"
"maxmonth"	"11"
"maxyear"	"2011"
"redshift"	"0.0289"
"sndec"	"+08:46:45.7"
"snra"	"23:27:55.50"
"photometry"	"timeunit"	"MJD"	"time"	"55882.5"	"abmag"	"16.5"	"source"	"2,1"
