"name"	"SN2012fe"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003200/CBET003242.txt'>CBET 3242</a>"	"alias"	"2"
"aliases"	"SN2012fe,CSS120926:174312+364602"
"claimedtype"	"Ia"
"discoverday"	"25"
"discoverer"	"CRTS"
"discovermonth"	"9"
"discoveryear"	"2012"
"galdec"	"+364602"
"galra"	"174312"
"host"	"A174312+3646"
"hvel"	"15000"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2012"
"redshift"	"0.05"
"sndec"	"+36:46:02.5"
"snra"	"17:43:12.18"
"photometry"	"timeunit"	"MJD"	"time"	"56195.5"	"abmag"	"17.6"	"source"	"2,1"
