"name"	"SN2007ks"
"source"	"name"	"<a href='http://adsabs.harvard.edu/abs/2012A%26A...538A.120L'>2012A&A...538A.120L</a>"	"alias"	"1"
"claimedtype"	"Ia"
"discoverday"	"14"
"discoverer"	"SDSS-II"
"discovermonth"	"9"
"discoveryear"	"2007"
"galdec"	"-004542"
"galra"	"204933"
"host"	"A204933-0045"
"hvel"	"28500"
"maxday"	"25"
"maxmonth"	"9"
"maxyear"	"2007"
"redshift"	"0.1"
"sndec"	"-004542.2"
"snra"	"204933.06"
"photometry"	"timeunit"	"MJD"	"time"	"54357.0"	"band"	"g"	"abmag"	"22.9"	"source"	"1"
