"name"	"SN2001cx"
"source"	"name"	"<a href='http://dau.itep.ru/sn/node/72'>Sternberg Astronomical Institute Supernova Light Curve Catalogue</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"VSNET 2001"	"alias"	"2"
"claimedtype"	"II"
"discoverday"	"9"
"discoverer"	"LOTOSS"
"discovermonth"	"6"
"discoveryear"	"2001"
"galdec"	"+060411"
"galra"	"225800"
"host"	"UGC 12266"
"hvel"	"4834"
"maxday"	"9"
"maxmonth"	"6"
"maxyear"	"2001"
"redshift"	"0.0163"
"sndec"	"+060348.4"
"snra"	"225800.28"
"photometry"	"timeunit"	"MJD"	"time"	"52069.5"	"band"	"C"	"abmag"	"17.8"	"source"	"1,2"
"photometry"	"timeunit"	"MJD"	"time"	"52085.5"	"band"	"C"	"abmag"	"18.1"	"source"	"1,2"
