"name"	"SN2013M"
"source"	"name"	"<a href='http://www.rochesterastronomy.org/snimages/snredshiftall.html'>Latest Supernovae</a>"	"alias"	"1"	"secondary"	"1"
"source"	"name"	"<a href='http://www.cbat.eps.harvard.edu/iau/cbet/003300/CBET003393.txt'>CBET 3393</a>"	"alias"	"2"
"aliases"	"SN2013M,PSN J13595668-3751494"
"claimedtype"	"Ia"
"discoverday"	"19"
"discoverer"	"Stu Parker"
"discovermonth"	"1"
"discoveryear"	"2013"
"galdec"	"-375149"
"galra"	"135958"
"host"	"ESO 325-G43"
"hvel"	"10520"
"maxday"	"19"
"maxmonth"	"1"
"maxyear"	"2013"
"redshift"	"0.034954"
"sndec"	"-37:51:49.4"
"snra"	"13:59:56.68"
"photometry"	"timeunit"	"MJD"	"time"	"56311.5"	"abmag"	"17.4"	"source"	"2,1"
